#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_aircon,80x0C_park_neutral_switch,80x0F_idle_set_point,80x10_idle_hot,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,coolant_sensor_fault,air_intake_sensor_fault,fuel_pump_circuit_fault,throttle_pot_fault,0x80_raw,7dx01_ignition_switch,7dx02_throttle_angle,7dx04_air_fuel_ratio,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0F_idle_base_pos,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx1F_jack_count,0x7d_raw
2024-07-02 20:39:45.780,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:46.318,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:46.812,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:47.276,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:47.776,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:48.306,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:48.777,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:49.307,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:49.776,0,46,200,40,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF5FFF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
2024-07-02 20:39:50.276,0,46,200,41,200,100,12.5,0.84,0,true,true,24.4,51,131,1024,0,4,5.98,0,false,false,false,false,801C000065FF60FF647D2A002001000004338B83046500380BAC000000,true,14.4,14.6,450,255,255,1,false,2,0,0,97,0,129,142,7D201018FF92005AFFFF0100826400FF61FFFF30817B9BFF19401D80258034008E
